1000,Zinger Menu,187,"[100, 401, 500]"
1001,Zinger Double Menu,221,"[101, 401, 500]"
1002,Texas Grander Menu,199,"[102, 401, 500]"
1003,Kentucky Gold Grander Menu,219,"[105, 401, 500]"
1004,Twister Menu,187,"[200, 401, 500]"
1005,Halloumi Twister Menu,226,"[202, 401, 500]"
1006,Twister Syr Slanina Menu,197,"[203, 401, 500]"
1007,Qurrito Menu,197,"[204, 401, 500]"
1008,Kentucky Gold Wrapper Menu,226,"[205, 401, 500]"
1009,Hot Wings Menu,173,"[301, 401, 500]"
1010,Strips Menu,173,"[303, 401, 500]"
1011,Classic Menu,173,"[307, 401, 500]"
1100,Zinger Box,247,"[100, 401, 500, 301]"
1101,Zinger Double Box,281,"[101, 401, 500, 301]"
1102,Texas Grander Box,259,"[102, 401, 500, 301]"
1103,Kentucky Gold Grander Box,279,"[105, 401, 500, 301]"
1104,Twister Box,247,"[200, 401, 500, 301]"
1105,Halloumi Twister Box,293,"[202, 401, 500, 405]"
1106,Twister Syr Slanina Box,257,"[203, 401, 500, 301]"
1107,Qurrito Box,257,"[204, 401, 500, 301]"
1108,Kentucky Gold Wrapper Box,293,"[205, 401, 500, 301]"
1109,Hot Wings Box,219,"[300, 300, 300, 401, 500]"
1110,Strips Deluxe Box,233,"[304, 300, 401, 500, 600]"
1111,Classic Box,233,"[307, 401, 500, 301]"
1200,Kyblik Classic XL,479,"[310, 305, 302, 409]"
1201,Kyblik 30 Hot Wings,429,"[311, 409]"
1202,Kyblik 30 Stripsu,449,"[312]"
1203,Kyblik 11 / 11,399,"[302, 300, 305,303]"
1204,Kyblik Stripsy a Bites pro 2,329,"[304, 313, 408]"
1205,Kyblik pro 1 Hot Wings,105,"[300, 300, 400]"
1206,Kyblik Classic pro 2,289,"[307, 317, 318, 408]"
1207,Kyblik 15 Hot Wings,289,"[319, 408]"
1208,Kyblik 15 stripsu,309,"[320]"
1209,Kyblik Stripsy a Bites XL,479,"[304, 304, 314, 409]"
1210,Kyblik Classic pro 1,105,"[316, 315, 306, 400]"
1211,Kyblik pro 1 Bites,105,"[321, 400]"
1300,B-Smart iTwist,65,"[201, 400]"
1301,B-Smart Strips,65,"[322, 400]"
1302,B-Smart Kentucky,65,"[306, 400]"
1303,B-Smart Longer,65,"[104, 400]"
1304,B-Smart Cheeseburger,65,"[103, 400]"
